Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status,
2014,January,ALL India,1,1.1.01,Cereals and products,10.60,9.68,10.33,F,
2014,February,ALL India,1,1.1.01,Cereals and products,9.34,7.97,8.88,F,
2014,March,ALL India,1,1.1.01,Cereals and products,8.98,7.20,8.35,F,
2014,April,ALL India,1,1.1.01,Cereals and products,9.07,6.89,8.33,F,
2014,May,ALL India,1,1.1.01,Cereals and products,8.48,6.33,7.84,F,
2014,June,ALL India,1,1.1.01,Cereals and products,7.48,5.21,6.77,F,
2014,July,ALL India,1,1.1.01,Cereals and products,7.32,5.09,6.62,F,
2014,August,ALL India,1,1.1.01,Cereals and products,6.56,5.49,6.14,F,
2014,September,ALL India,1,1.1.01,Cereals and products,5.98,4.72,5.58,F,
2014,October,ALL India,1,1.1.01,Cereals and products,5.42,4.79,5.21,F,
2014,November,ALL India,1,1.1.01,Cereals and products,4.60,3.92,4.40,F,
2014,December,ALL India,1,1.1.01,Cereals and products,3.38,2.90,3.19,F,
2015,January,ALL India,1,1.1.01,Cereals and products,3.53,2.31,3.18,F,
2015,February,ALL India,1,1.1.01,Cereals and products,3.35,1.97,2.91,F,
2015,March,ALL India,1,1.1.01,Cereals and products,2.66,1.56,2.32,F,
2015,April,ALL India,1,1.1.01,Cereals and products,2.58,1.06,2.15,F,
2015,May,ALL India,1,1.1.01,Cereals and products,2.66,0.90,2.06,F,
2015,June,ALL India,1,1.1.01,Cereals and products,2.82,0.41,1.98,F,
2015,July,ALL India,1,1.1.01,Cereals and products,1.89,-0.48,1.06,F,
2015,August,ALL India,1,1.1.01,Cereals and products,2.38,-1.36,1.22,F,
2015,September,ALL India,1,1.1.01,Cereals and products,2.29,-0.64,1.38,F,
2015,October,ALL India,1,1.1.01,Cereals and products,2.45,-0.80,1.46,F,
2015,November,ALL India,1,1.1.01,Cereals and products,2.77,-0.40,1.70,F,
2015,December,ALL India,1,1.1.01,Cereals and products,3.19,0.24,2.28,F,
2016,January,ALL India,1,1.1.01,Cereals and products,3.01,0.56,2.19,F,
2016,February,ALL India,1,1.1.01,Cereals and products,3.00,0.40,2.18,F,
2016,March,ALL India,1,1.1.01,Cereals and products,3.24,0.65,2.43,F,
2016,April,ALL India,1,1.1.01,Cereals and products,3.33,0.89,2.51,F,
2016,May,ALL India,1,1.1.01,Cereals and products,3.32,0.97,2.59,F,
2016,June,ALL India,1,1.1.01,Cereals and products,3.63,1.86,3.07,F,
2016,July,ALL India,1,1.1.01,Cereals and products,4.27,2.92,3.88,F,
2016,August,ALL India,1,1.1.01,Cereals and products,4.33,3.66,4.11,F,
2016,September,ALL India,1,1.1.01,Cereals and products,4.56,3.81,4.25,F,
2016,October,ALL India,1,1.1.01,Cereals and products,4.54,4.13,4.40,F,
2016,November,ALL India,1,1.1.01,Cereals and products,4.68,5.00,4.78,F,
2016,December,ALL India,1,1.1.01,Cereals and products,4.99,5.87,5.25,F,
2017,January,ALL India,1,1.1.01,Cereals and products,4.97,6.01,5.31,F,
2017,February,ALL India,1,1.1.01,Cereals and products,4.88,6.41,5.30,F,
2017,March,ALL India,1,1.1.01,Cereals and products,4.95,6.33,5.38,F,
2017,April,ALL India,1,1.1.01,Cereals and products,4.55,6.24,5.06,F,
2017,May,ALL India,1,1.1.01,Cereals and products,4.31,6.08,4.81,F,
2017,June,ALL India,1,1.1.01,Cereals and products,3.81,5.56,4.39,F,
2017,July,ALL India,1,1.1.01,Cereals and products,3.63,4.73,3.97,F,
2017,August,ALL India,1,1.1.01,Cereals and products,3.61,4.39,3.87,F,
2017,September,ALL India,1,1.1.01,Cereals and products,3.36,4.29,3.70,F,
2017,October,ALL India,1,1.1.01,Cereals and products,3.50,4.04,3.68,F,
2017,November,ALL India,1,1.1.01,Cereals and products,3.26,3.15,3.27,F,
2017,December,ALL India,1,1.1.01,Cereals and products,2.87,2.13,2.65,F,
2018,January,ALL India,1,1.1.01,Cereals and products,2.63,1.82,2.41,F,
2018,February,ALL India,1,1.1.01,Cereals and products,2.33,1.51,2.10,F,
2018,March,ALL India,1,1.1.01,Cereals and products,2.40,1.73,2.18,F,
2018,April,ALL India,1,1.1.01,Cereals and products,2.93,1.73,2.56,F,
2018,May,ALL India,1,1.1.01,Cereals and products,3.23,1.81,2.78,F,
2018,June,ALL India,1,1.1.01,Cereals and products,3.07,1.81,2.70,F,
2018,July,ALL India,1,1.1.01,Cereals and products,3.28,2.11,2.92,F,
2018,August,ALL India,1,1.1.01,Cereals and products,3.26,2.48,2.98,F,
2018,September,ALL India,1,1.1.01,Cereals and products,3.11,2.54,2.90,F,
2018,October,ALL India,1,1.1.01,Cereals and products,2.50,2.76,2.59,F,
2018,November,ALL India,1,1.1.01,Cereals and products,0.59,2.83,1.25,F,
2018,December,ALL India,1,1.1.01,Cereals and products,0.51,3.05,1.25,F,
2019,January,ALL India,1,1.1.01,Cereals and products,0.00,2.75,0.81,F,
2019,February,ALL India,1,1.1.01,Cereals and products,0.29,3.41,1.25,F,
2019,March,ALL India,1,1.1.01,Cereals and products,0.07,3.48,1.17,F,
2019,April,ALL India,1,1.1.01,Cereals and products,0.00,3.70,1.17,F,
2019,May,ALL India,1,1.1.01,Cereals and products,0.00,4.00,1.24,F,
2019,June,ALL India,1,1.1.01,Cereals and products,0.15,3.99,1.31,F,
2019,July,ALL India,1,1.1.01,Cereals and products,0.00,4.28,1.31,F,
2019,August,ALL India,1,1.1.01,Cereals and products,0.00,4.10,1.30,F,
2019,September,ALL India,1,1.1.01,Cereals and products,0.50,4.16,1.66,F,
2019,October,ALL India,1,1.1.01,Cereals and products,1.22,4.29,2.16,F,
2019,November,ALL India,1,1.1.01,Cereals and products,3.43,4.34,3.71,F,
2019,December,ALL India,1,1.1.01,Cereals and products,4.16,4.62,4.36,F,
2020,January,ALL India,1,1.1.01,Cereals and products,5.20,5.28,5.25,F,
2020,February,ALL India,1,1.1.01,Cereals and products,5.41,4.88,5.23,F,
2020,March,ALL India,1,1.1.01,Cereals and products,5.48,4.87,5.30,F,
2020,June,ALL India,1,1.1.01,Cereals and products,7.55,8.53,7.86,F,
2020,July,ALL India,1,1.1.01,Cereals and products,6.65,7.21,6.89,F,
2020,August,ALL India,1,1.1.01,Cereals and products,5.53,6.62,5.92,F,
2020,September,ALL India,1,1.1.01,Cereals and products,4.21,5.54,4.68,F,
2020,October,ALL India,1,1.1.01,Cereals and products,3.12,4.32,3.53,F,
2020,November,ALL India,1,1.1.01,Cereals and products,1.97,3.40,2.46,F,
2020,December,ALL India,1,1.1.01,Cereals and products,0.42,2.14,0.98,F,
2021,January,ALL India,1,1.1.01,Cereals and products,-0.56,1.51,0.14,F,
2021,February,ALL India,1,1.1.01,Cereals and products,-0.97,0.96,-0.35,F,
2021,March,ALL India,1,1.1.01,Cereals and products,-1.32,0.68,-0.69,F,
2021,April,ALL India,1,1.1.01,Cereals and products,-3.06,-2.77,-2.96,F,
2021,May,ALL India,1,1.1.01,Cereals and products,-1.63,-1.06,-1.42,F,
2021,June,ALL India,1,1.1.01,Cereals and products,-1.75,-2.29,-1.94,F,
2021,July,ALL India,1,1.1.01,Cereals and products,-1.69,-1.65,-1.68,F,
2021,August,ALL India,1,1.1.01,Cereals and products,-1.36,-1.52,-1.42,F,
2021,September,ALL India,1,1.1.01,Cereals and products,-0.41,-0.86,-0.61,F,
2021,October,ALL India,1,1.1.01,Cereals and products,0.48,0.27,0.41,F,
2021,November,ALL India,1,1.1.01,Cereals and products,1.59,1.34,1.51,F,
2021,December,ALL India,1,1.1.01,Cereals and products,2.79,2.43,2.62,F,
2022,January,ALL India,1,1.1.01,Cereals and products,3.78,2.98,3.46,F,
2022,February,ALL India,1,1.1.01,Cereals and products,4.20,3.32,3.95,F,
2022,March,ALL India,1,1.1.01,Cereals and products,5.40,4.20,5.00,F,
2022,April,ALL India,1,1.1.01,Cereals and products,6.38,5.28,5.96,F,
2022,May,ALL India,1,1.1.01,Cereals and products,5.38,5.31,5.33,F,
2022,June,ALL India,1,1.1.01,Cereals and products,5.63,5.56,5.66,F,
2022,July,ALL India,1,1.1.01,Cereals and products,6.96,6.84,6.90,F,
2022,August,ALL India,1,1.1.01,Cereals and products,10.08,8.65,9.57,F,
2022,September,ALL India,1,1.1.01,Cereals and products,12.04,10.45,11.53,F,
2022,October,ALL India,1,1.1.01,Cereals and products,12.73,10.86,12.08,F,
2022,November,ALL India,1,1.1.01,Cereals and products,13.61,11.52,12.96,F,
2022,December,ALL India,1,1.1.01,Cereals and products,14.52,12.27,13.79,F,
2023,January,ALL India,1,1.1.01,Cereals and products,17.33,13.86,16.25,F,
2023,February,ALL India,1,1.1.01,Cereals and products,17.81,14.62,16.73,F,
2023,March,ALL India,1,1.1.01,Cereals and products,16.05,13.66,15.27,F,
2023,April,ALL India,1,1.1.01,Cereals and products,14.16,12.48,13.67,F,
2023,May,ALL India,1,1.1.01,Cereals and products,13.28,11.49,12.72,F,
2023,June,ALL India,1,1.1.01,Cereals and products,13.39,11.56,12.77,F,
2023,July,ALL India,1,1.1.01,Cereals and products,13.72,11.61,13.04,F,
2023,August,ALL India,1,1.1.01,Cereals and products,12.23,10.92,11.85,F,
2023,September,ALL India,1,1.1.01,Cereals and products,11.36,9.95,10.95,F,
2023,October,ALL India,1,1.1.01,Cereals and products,11.11,9.80,10.71,F,
2023,November,ALL India,1,1.1.01,Cereals and products,10.72,9.38,10.27,F,
2023,December,ALL India,1,1.1.01,Cereals and products,10.31,9.05,9.93,F,
2024,January,ALL India,1,1.1.01,Cereals and products,7.76,7.96,7.83,F,
2024,February,ALL India,1,1.1.01,Cereals and products,7.59,7.72,7.65,F,
2024,March,ALL India,1,1.1.01,Cereals and products,8.61,7.90,8.37,F,
2024,April,ALL India,1,1.1.01,Cereals and products,8.94,8.07,8.63,F,
2024,May,ALL India,1,1.1.01,Cereals and products,8.95,8.19,8.69,F,
2024,June,ALL India,1,1.1.01,Cereals and products,9.00,8.14,8.75,F,
2024,July,ALL India,1,1.1.01,Cereals and products,8.44,7.54,8.14,F,
2024,August,ALL India,1,1.1.01,Cereals and products,7.60,6.73,7.31,F,
2024,September,ALL India,1,1.1.01,Cereals and products,7.11,6.34,6.84,F,
2024,October,ALL India,1,1.1.01,Cereals and products,7.27,6.24,6.94,F,
2024,November,ALL India,1,1.1.01,Cereals and products,7.20,6.13,6.88,F,
2024,December,ALL India,1,1.1.01,Cereals and products,6.82,5.87,6.51,F,
2025,January,ALL India,1,1.1.01,Cereals and products,6.56,5.56,6.24,F,
2014,January,ALL India,1,1.1.02,Meat and fish,10.16,11.82,10.72,F,
2014,February,ALL India,1,1.1.02,Meat and fish,8.28,8.06,8.17,F,
2014,March,ALL India,1,1.1.02,Meat and fish,8.55,8.98,8.75,F,
2014,April,ALL India,1,1.1.02,Meat and fish,8.58,7.32,8.12,F,
2014,May,ALL India,1,1.1.02,Meat and fish,9.47,8.67,9.25,F,
2014,June,ALL India,1,1.1.02,Meat and fish,8.47,4.83,7.14,F,
2014,July,ALL India,1,1.1.02,Meat and fish,6.61,6.04,6.44,F,
2014,August,ALL India,1,1.1.02,Meat and fish,6.41,5.73,6.14,F,
2014,September,ALL India,1,1.1.02,Meat and fish,5.79,5.29,5.65,F,
2014,October,ALL India,1,1.1.02,Meat and fish,6.15,6.77,6.45,F,
2014,November,ALL India,1,1.1.02,Meat and fish,6.70,8.00,7.19,F,
2014,December,ALL India,1,1.1.02,Meat and fish,5.61,5.59,5.57,F,
2015,January,ALL India,1,1.1.02,Meat and fish,5.12,2.87,4.29,F,
2015,February,ALL India,1,1.1.02,Meat and fish,5.69,3.69,4.95,F,
2015,March,ALL India,1,1.1.02,Meat and fish,5.59,4.37,5.11,F,
2015,April,ALL India,1,1.1.02,Meat and fish,5.55,5.34,5.42,F,
2015,May,ALL India,1,1.1.02,Meat and fish,5.74,4.51,5.26,F,
2015,June,ALL India,1,1.1.02,Meat and fish,7.24,6.75,7.07,F,
2015,July,ALL India,1,1.1.02,Meat and fish,7.35,6.25,6.94,F,
2015,August,ALL India,1,1.1.02,Meat and fish,6.92,3.46,5.63,F,
2015,September,ALL India,1,1.1.02,Meat and fish,7.11,2.87,5.59,F,
2015,October,ALL India,1,1.1.02,Meat and fish,6.45,1.98,4.85,F,
2015,November,ALL India,1,1.1.02,Meat and fish,6.53,3.34,5.34,F,
2015,December,ALL India,1,1.1.02,Meat and fish,7.27,5.61,6.66,F,
2016,January,ALL India,1,1.1.02,Meat and fish,8.20,8.29,8.23,F,
2016,February,ALL India,1,1.1.02,Meat and fish,7.48,6.80,7.27,F,
2016,March,ALL India,1,1.1.02,Meat and fish,7.78,7.58,7.74,F,
2016,April,ALL India,1,1.1.02,Meat and fish,7.89,8.66,8.23,F,
2016,May,ALL India,1,1.1.02,Meat and fish,8.18,9.56,8.67,F,
2016,June,ALL India,1,1.1.02,Meat and fish,6.29,7.07,6.60,F,
2016,July,ALL India,1,1.1.02,Meat and fish,6.08,7.37,6.57,F,
2016,August,ALL India,1,1.1.02,Meat and fish,5.71,6.53,6.01,F,
