,,Annexure 1.1: Revenue Receipts of the States ,,,,,,,,,,,
,,(? crore),,,,,,,,,,,
,,,,,,,,,,,,,
#,States,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,,
1,Andhra Pradesh,"157,768","150,552","117,136","111,034","114,671","105,062","98,985","88,648","90,672","110,719",,
2,Arunachal Pradesh,"23,788","21,232","17,124","14,889","16,196","13,775","11,780","10,553","9,136","5,820",,
3,Assam,"89,742","79,815","64,902","64,495","63,479","54,131","49,220","42,458","38,181","32,213",,
4,Bihar,"172,688","158,797","128,168","124,233","131,793","117,447","105,585","96,123","78,418","68,919",,
5,Chhattisgarh,"93,877","79,652","63,176","63,869","65,095","59,647","53,685","46,068","37,988","32,050",,
6,Goa,"17,284","14,286","10,440","11,298","11,438","11,054","9,565","8,552","7,689","6,450",,
7,Gujarat,"199,408","166,830","128,156","142,844","136,002","123,291","109,842","97,483","91,978","79,976",,
8,Haryana,"89,195","78,092","67,561","67,858","65,885","62,695","52,497","47,557","40,799","38,012",,
9,Himachal Pradesh,"38,090","37,309","33,438","30,742","30,950","27,367","26,264","23,440","17,843","15,711",,
10,Jharkhand,"80,245","69,722","56,150","58,417","56,152","52,756","47,054","40,638","31,565","26,137",,
11,Karnataka,"229,080","195,762","156,716","175,443","164,979","147,000","133,214","118,817","104,142","89,543",,
12,Kerala,"132,725","116,640","97,617","90,225","92,854","83,020","75,612","69,033","57,950","49,177",,
13,Madhya Pradesh,"203,986","185,876","146,377","147,643","148,893","134,875","123,307","105,511","88,641","75,749",,
14,Maharashtra,"405,678","333,312","269,468","283,190","278,996","243,654","204,693","185,036","165,415","149,822",,
15,Manipur,"15,893","14,091","12,983","10,684","10,562","10,358","9,129","8,280","7,998","7,283",,
16,Meghalaya,"14,820","14,274","10,683","9,414","9,719","9,273","8,939","7,043","6,428","6,267",,
17,Mizoram,"10,282","9,160","7,741","9,658","9,040","8,580","7,398","6,676","5,511","4,765",,
18,Nagaland,"14,099","13,451","11,427","11,423","11,437","11,019","9,442","8,044","7,651","6,498",,
19,Odisha,"150,462","153,059","104,387","101,568","99,546","85,204","74,299","68,941","56,998","48,947",,
20,Punjab,"87,616","78,168","69,048","61,575","62,269","53,010","47,985","41,523","39,023","35,104",,
21,Rajasthan,"194,988","183,920","134,308","140,114","137,873","127,307","109,026","100,285","91,327","74,470",,
22,Sikkim,"8,104","7,081","5,608","4,841","5,920","5,213","4,610","3,784","4,462","4,326",,
23,Tamil Nadu,"243,749","207,492","174,076","174,526","173,741","146,280","140,231","129,008","122,420","108,036",,
24,Telangana,"159,350","127,469","100,914","102,544","101,420","88,824","82,818","76,134","51,042",0,,
25,Tripura,"18,309","17,614","13,292","11,002","12,031","10,068","9,645","9,427","9,240","7,650",,
26,Uttar Pradesh,"417,242","371,011","296,176","366,393","329,978","278,775","256,875","227,076","193,422","168,214",,
27,Uttarakhand,"49,083","43,057","38,204","30,723","31,216","27,105","24,889","21,234","20,247","17,321",,
28,West Bengal,"195,544","178,159","148,394","142,914","145,975","131,270","117,832","109,732","86,514","72,882",,
Total,,"3,513,095","3,105,884","2,483,672","2,563,556","2,518,110","2,228,060","2,004,422","1,797,104","1,562,700","1,342,059",,
,,,,,,,,,,,,,
